SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],,2.903089986991944,10.1134_s0965545x13020119_part_1.txt_段1_Material1,,800.0000000000011
C/C(C[*])=C/C[*],COC(C(C[*])([*])C)=O,,2.9542425094393248,10.1177_0021998316689721_part_1.txt_段1_Material1,,899.9999999999998
C/C(C[*])=C/C[*],O=C1CCCN1C([*])C[*],,3.322219294733919,10.1088_1757-899x_801_1_012091_part_1.txt_段1_Material1,,2099.999999999999
C/C(C[*])=C/C[*],[*]C(C)C[*],,5.954242509439325,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_段1_Material3,,900000.0000000007
C/C(C[*])=C/C[*],[*]C([H])([H])C(O)([H])[*],,3.505149978319906,10.5254_1.3673424_part_1.txt_段1_Material1,,3199.999999999999
C/C(C[*])=C/C[*],[*]CC([*])Cl,,3.832508912706236,10.1002_app.38997_part_1.txt_段1_Material2,,6799.999999999997
C/C(C[*])=C/C[*],[*]CC=CCCC(C#N)[*],,5.238046103128795,10.1016_j.polymer.2018.10.012_part_3.txt_段1_Material1,,172999.99999999985
C/C(C[*])=C/C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,3.505149978319906,10.1080_1023666x.2015.1050905_part_2.txt_段1_Material1,,3199.999999999999
C/C(C[*])=C/C[*],[*]CCCC([*])OC(C)=O,,6.041392685158225,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_段1_Material5,,1100000.0000000007
C/C(C[*])=C/C[*],[*]CCN[*],,3.8813846567705728,10.1007_s10118-016-1794-4_part_1.txt_段1_Material1,,7609.999999999999
C/C(C[*])=C/C[*],[*]CC[*],,5.576341350205793,10.1177_096739111602400913_part_1.txt_段1_Material1,,376999.99999999977
CC(C=C([*])C=C1C)=C1O[*],[*]C(C)C[*],,6.707570176097937,10.1515_epoly.2010.10.1.336_part_2.txt_段1_Material1,,5100000.000000004
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,6.107549129744687,10.1016_j.compscitech.2015.01.001_part_1.txt_段1_Material1,,1281000.0000000012
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=C1C([*])C(CC[*])C(O1)=O,,4.193681029541281,10.1007_s10924-018-1296-2_part_1.txt_段1_Material1,,15619.999999999987
COC(C(C[*])([*])C)=O,COC(C(C[*])([*])C)=O,,6.2405492482826,10.1002_adv.21749_part_2.txt_段1_Material1,,1740000.0000000026
COC(C(C[*])([*])C)=O,C[Si](O[*])(C)[*],,5.278753600952829,10.1039_c7sm00574a_part_2.txt_段1_Material1,,189999.99999999997
COC(C(C[*])([*])C)=O,O=C1CCCN1C([*])C[*],,6.313867220369153,10.18280_rcma.330503_OA_part_2.txt_段1_Material1,,2059999.9999999995
COC(C(C[*])([*])C)=O,[*]C([H])([H])C(O)([H])[*],,4.681241237375588,10.56294_sctconf2024873_OA_part_2.txt_段1_Material1,,48000.00000000005
COC(C(C[*])([*])C)=O,[*]CC(C#N)[*],,5.81504617606463,10.1177_0021998311431995_part_1.txt_段1_Material1,,653199.9999999994
COC(C(C[*])([*])C)=O,[*]CC(C)(C(OCCO)=O)[*],,3.204119982655925,10.1002_pen.24931_part_2.txt_段1_Material1,,1600.000000000001
COC(C(C[*])([*])C)=O,[*]CCN[*],,6.0,10.1021_ie4043196_part_1.txt_段1_Material1,,1000000.0
C[Si](C)(C[*])O[*],[*]CC(C#N)[*],,6.0,10.1007_s10853-011-5965-y_part_1.txt_段1_Material1,,1000000.0
C[Si](O[*])(C)[*],C[Si](C)(C[*])O[*],,3.146128035678238,10.1002_admt.202000374_part_1.txt_段1_Material1,,1400.0000000000005
C[Si](O[*])(C)[*],C[Si](O[*])(C)[*],,2.8750612633917,10.1088_0960-1317_21_2_027002_part_1.txt_段1_Material1,,750.0000000000001
C[Si](O[*])(C)[*],O=C1CCCN1C([*])C[*],,3.3138672203691533,10.1002_pen.24240_part_1.txt_段1_Material4,,2059.9999999999995
C[Si](O[*])(C)[*],[*]C(F)(C(F)([*])F)F,,2.6989700043360187,10.1088_0960-1317_22_1_015013_part_1.txt_段1_Material1,,500.0
C[Si](O[*])(C)[*],[*]C/C=C(C[*])\Cl,,3.2430380486862944,10.1088_1361-665x_aa7a49_part_2.txt_段1_Material1,,1750.0
C[Si](O[*])(C)[*],[*]C1=CC=C([*])N1,,2.6532125137753435,10.1016_j.progpolymsci.2018.06.001_part_8.txt_段1_Material2,,449.99999999999983
C[Si](O[*])(C)[*],[*]CC(C#N)[*],,2.1089031276673134,10.1002_app.44780_part_2.txt_段1_Material1,,128.5
C[Si](O[*])(C)[*],[*]CC1=CC=C(C(Cl)=C1)C[*],,4.431363764158987,10.1016_j.jmbbm.2016.01.014_part_2.txt_段1_Material3,,26999.99999999997
C[Si](O[*])(C)[*],[*]CCN[*],,4.431363764158987,10.1016_j.jmbbm.2016.01.014_part_2.txt_段1_Material2,,26999.99999999997
C[Si](O[*])(C)[*],[*]CC[*],,5.544068044350276,10.1002_app.46192_part_2.txt_段1_Material1,,350000.0
C[Si](O[*])(C)[*],[*]OCC[*],,2.740362689494244,10.3390_polym12071520_part_2.txt_段1_Material1,,550.0000000000003
O=C(N)C([*])C[*],O=C(N)C([*])C[*],,1.954242509439325,10.1016_j.polymer.2019.02.012_part_3.txt_段1_Material1,,90.00000000000003
O=C(N)C([*])C[*],O=C(O)C([*])C[*],,1.9549175537349588,10.1016_j.nanoen.2019.01.032_part_1.txt_段1_Material1,,90.14
O=C(N)C([*])C[*],[*]C([H])([H])C(O)([H])[*],,1.9268567089496924,10.1002_mame.201900450_part_1.txt_段1_Material1,,84.50000000000001
O=C(N)C([*])C[*],[*]CC(C#N)[*],,1.380211241711606,10.1021_acsami.9b05464_part_1.txt_段1_Material1,,23.999999999999996
O=C(N)C([*])C[*],[*]OCC[*],,0.6334684555795865,10.1080_09205063.2016.1230933_part_2.txt_段1_Material1,,4.3
O=C(O)C([*])C[*],C[Si](O[*])(C)[*],,5.445604203273597,10.1016_j.porgcoat.2016.10.009_part_3.txt_段1_Material1,,278999.9999999999
O=C(O)C([*])C[*],O=C(N)C([*])C[*],,1.7781512503836436,10.1016_j.carbpol.2018.06.047_part_2.txt_段1_Material1,,60.0
O=C(O)C([*])C[*],[*]CC(C)(C(OCCO)=O)[*],,4.101747073946366,10.1055_s-0040-1717051_part_1.txt_段1_Material1,,12639.999999999993
O=C([*])C(C)O[*],COC(C(C[*])([*])C)=O,,6.531478917042255,10.1002_app.43935_part_2.txt_段1_Material4,,3400000.000000002
O=C([*])C(C)O[*],C[Si](C)(C[*])O[*],,6.266114049531676,10.1038_s41428-024-00971-0_OA_part_2.txt_段1_Material1,,1845499.9999999984
O=C([*])C(C)O[*],O=C(N)C([*])C[*],,2.0791812460476247,10.3390_polym10040403_part_2.txt_段1_Material1,,119.99999999999996
O=C([*])C(C)O[*],O=C([*])C(C)O[*],,6.137926673293154,10.1002_pc.25284_part_2.txt_段1_Material1,,1373810.0
O=C([*])C(C)O[*],O=C1C([*])C(CC[*])C(O1)=O,,4.342422680822207,10.1002_vnl.21710_part_1.txt_段1_Material1,,22000.00000000002
O=C([*])C(C)O[*],OCC1OC(C(C(C1O[*])O)O)[*],,6.371067862271736,10.1177_0892705711425846_part_2.txt_段1_Material2,,2349999.9999999977
O=C([*])C(C)O[*],[*]C(C(O[*])C)=O,,6.230448921378274,10.1002_mame.202000805_part_2.txt_段1_Material1,,1700000.0000000007
O=C([*])C(C)O[*],[*]C(C)C(OCC(O[*])=O)=O,,6.361727836017593,10.1016_j.polymdegradstab.2019.109018_part_2.txt_段1_Material3,,2300000.000000001
O=C([*])C(C)O[*],[*]C(C)C[*],,5.089905111439398,10.1007_s10924-011-0382-5_part_1.txt_段1_Material1,,123000.00000000004
O=C([*])C(C)O[*],[*]C(OCCCO[*])=O,,4.453624073591451,10.4028_www.scientific.net_amr.884-885.481_part_1.txt_段1_Material1,,28419.999999999985
O=C([*])C(C)O[*],[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,6.086359830674748,10.1007_s00289-019-02862-4_part_3.txt_段1_Material3,,1220000.0000000005
O=C([*])C(C)O[*],[*]C([H])([H])C(O)([H])[*],,6.319314304090512,10.3390_polym11081314_part_2.txt_段1_Material1,,2086000.0000000007
O=C([*])C(C)O[*],[*]C/C=C(C[*])\Cl,,5.187520720836463,10.1002_pat.4274_part_1.txt_段1_Material1,,153999.99999999985
O=C([*])C(C)O[*],[*]C/C=C/C[*],,5.528916700277655,10.1021_ma401508b_part_2.txt_段1_Material2,,338000.0000000003
O=C([*])C(C)O[*],[*]C1=C2C(OCCO2)=C([*])S1,,6.568201724066995,10.1002_adem.202100002_part_1.txt_段1_Material1,,3700000.0
O=C([*])C(C)O[*],[*]CC(C#N)[*],,6.477121254719663,10.1016_j.addr.2016.04.003_part_3.txt_段1_Material2,,3000000.000000001
O=C([*])C(C)O[*],[*]CC(C(OCC)=O)[*],,5.3979400086720375,10.1002_app.36842_part_1.txt_段1_Material3,,249999.99999999997
O=C([*])C(C)O[*],[*]CC(OC(O[*])=O)C,,5.71717102683231,10.1002_app.46009_part_3.txt_段1_Material1,,521400.00000000006
O=C([*])C(C)O[*],[*]CC=CCCC(C#N)[*],,6.049218022670182,10.1177_0095244320958108_part_2.txt_段1_Material1,,1120000.000000001
O=C([*])C(C)O[*],[*]CCC1C([*])C2CCC1C2,,6.489958479424835,10.1177_0892705712475008_part_2.txt_段1_Material1,,3090000.0
O=C([*])C(C)O[*],[*]CCCC([*])C(OC)=O,,6.3560258571931225,10.1002_app.44677_part_2.txt_段1_Material1,,2269999.999999999
O=C([*])C(C)O[*],[*]CCCC([*])OC(C)=O,,6.182671386675478,10.1016_j.polymertesting.2020.106735_part_2.txt_段1_Material2,,1522899.999999999
O=C([*])C(C)O[*],[*]CCN[*],,6.5910646070265,10.1080_03602559.2014.909477_part_2.txt_段1_Material1,,3900000.000000011
O=C([*])C(C)O[*],[*]CC[*],,6.32221929473392,10.4028_www.scientific.net_amm.754-755.54_part_1.txt_段1_Material1,,2100000.0000000056
O=C([*])C(C)O[*],[*]NC(C(O)=O)CCC([*])=O,,6.278753600952829,10.1039_d0gc01394c_part_3.txt_段1_Material2,,1899999.9999999995
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,,6.399154333958217,10.3144_expresspolymlett.2018.10_part_2.txt_段1_Material1,,2507000.000000002
O=C([*])C(C)O[*],[*]OCC[*],,6.073105874968971,10.3390_polym12020427_part_3.txt_段1_Material1,,1183330.0000000005
O=C([*])C(C)O[*],[*]O[C@H](C)CC([*])=O,,6.474755154291798,10.5552_drind.2018.1737_part_1.txt_段1_Material1,,2983699.9999999977
O=C1CCCN1C([*])C[*],C[Si](O[*])(C)[*],,3.397940008672037,10.1016_j.porgcoat.2020.105975_part_1.txt_段1_Material1,,2499.999999999997
O=C1CCCN1C([*])C[*],[*]OCC[*],,5.698970004336019,10.1002_polb.23065_part_3.txt_段1_Material1,,500000.0
OCC1OC(C(C(C1O[*])O)O)[*],C/C(C[*])=C/C[*],,6.350248018334163,10.1016_j.matlet.2013.08.109_part_1.txt_段1_Material1,,2240000.000000002
OCC1OC(C(C(C1O[*])O)O)[*],[*]C(CCCCCO[*])=O,,4.176091259055681,10.4028_www.scientific.net_kem.659.19_part_1.txt_段1_Material1,,15000.000000000004
[*]C(C(OC(CO[*])=O)C)=O,[*]OCC[*],,5.7160033436348,10.1002_pat.1780_part_2.txt_段1_Material1,,520000.0000000014
[*]C(C(O[*])C)=O,[*]C(C)C(OCC(O[*])=O)=O,,6.146128035678238,10.1080_03602551003681846_part_1.txt_段1_Material3,,1400000.0000000005
[*]C(C(O[*])C)=O,[*]OCC[*],,5.447158031342219,10.1166_jnn.2017.12717_part_1.txt_段1_Material1,,280000.0000000001
[*]C(C)C[*],C/C(C[*])=C/C[*],,6.079181246047625,10.1088_1757-899x_957_1_012020_part_1.txt_段1_Material1,,1200000.0000000007
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,5.444825199509748,10.1177_0021998311413686_part_1.txt_段1_Material1,,278500.00000000023
[*]C(C)C[*],O=C(O)C([*])C[*],,6.079181246047625,10.1002_app.46597_part_1.txt_段1_Material1,,1200000.0000000007
[*]C(C)C[*],O=C([*])C(C)O[*],,6.544068044350276,10.1016_j.compositesa.2015.03.029_part_2.txt_段1_Material1,,3500000.0000000005
[*]C(C)C[*],[*]C(C)C[*],,6.193124598354461,10.3390_ma9050314_part_1.txt_段1_Material1,,1559999.9999999984
[*]C(C)C[*],[*]C/C=C/C[*],,7.498310553789601,10.1515_secm.2011.011_part_1.txt_段1_Material4,,31500000.000000022
[*]C(C)C[*],[*]CC(C#N)[*],,7.4954055631461936,10.1002_app.32936_part_2.txt_段1_Material1,,31290000.00000002
[*]C(C)C[*],[*]CC(OC(O[*])=O)C,,6.079181246047625,10.1002_app.45266_part_2.txt_段1_Material1,,1200000.0000000007
[*]C(C)C[*],[*]CC([*])CC,,5.663700925389648,10.1088_1757-899x_490_2_022037_part_2.txt_段1_Material1,,460999.9999999998
[*]C(C)C[*],[*]CC=CCCC(C#N)[*],,6.004321373782642,10.1177_0307174x1704400603_part_1.txt_段1_Material1,,1009999.9999999992
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,5.5301996982030825,10.3139_217.3286_part_2.txt_段1_Material1,,339000.0000000003
[*]C(C)C[*],[*]CCCC([*])OC(C)=O,,4.711807229041191,10.1002_pc.23159_part_1.txt_段1_Material1,,51499.99999999997
[*]C(C)C[*],[*]CCN[*],,6.188647295999718,10.1016_j.compstruct.2018.01.090_part_2.txt_段1_Material1,,1544000.000000001
[*]C(C)C[*],[*]CC[*],,6.0,10.1007_s10965-013-0303-5_part_2.txt_段1_Material1,,1000000.0
[*]C(C)C[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,,5.77451696572855,10.1002_app.37957_part_1.txt_段1_Material1,,595000.0000000003
[*]C(C)C[*],[*]OCC[*],,6.0,10.1002_macp.201300355_part_2.txt_段1_Material1,,1000000.0
